CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
67774-32-7,,Firemaster FF-1,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
61288-13-9,,Octabromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-29-3,,"(-)-2,2',3,3',5,6'-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
99554-13-9,,"(-)-2,2',3,4,4',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
99554-11-7,,"(-)-2,2',3,4,6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
151262-35-0,,"(-)-2,2',3,5',6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
151262-32-7,,"(-)-2,2',3,6-tetrachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-35-1,,"(+)-2,2',3,3',4,4',5,6'-octachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-34-0,,"(+)-2,2',3,3',4,5',6-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-32-8,,"(+)-2,2',3,3',4,6,6'-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-28-2,,"(+)-2,2',3,3',4,6'-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-33-9,,"(+)-2,2',3,3',4,6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-30-6,,"(+)-2,2',3,3',6,6'-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-27-1,,"(+)-2,2',3,3',6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
228420-07-3,,"(+)-2,2',3,4,4',5',6-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
99554-09-3,,"(+/-)-2,2',3,4,4',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
99554-12-8,,"(+)-2,2',3,4,4',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
207004-36-2,,"(+)-2,2',3,4',5',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
228420-06-2,,"(+)-2,2',3,4,5',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
99554-08-2,,"(+/-)-2,2',3,4,6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
99554-10-6,,"(+)-2,2',3,4,6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
151262-34-9,,"(+)-2,2',3,5',6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
151262-31-6,,"(+)-2,2',3,6-tetrachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
177020-15-4,,"(R)-2,2',3,3',4,4',5,6'-octachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
109328-45-2,,"(R)-2,2',3,3',4,4',6,6'-octachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
176914-46-8,,"(R)-2,2',3,3',4,4',6-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
179678-30-9,,"(R)-2,2',3,3',4,5',6-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
179678-28-5,,"(R)-2,2',3,3',4,5,6'-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
179678-32-1,,"(R)-2,2',3,3',4,6,6'-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
153153-48-1,,"(R)-2,2',3,3',4,6'-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
